vehicles_id,animals,car_sedan,car_utility,car_van,car_4x4,car_station_wagon,motor_cycle,truck_small,truck_large,bus,taxi,bicycle,scooter,pedestrian,inanimate,train,tram,vehicle_other
1c1b,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2c,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2c1i,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2w,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1c1w,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4c,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2c1t,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1c1T,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1c1v,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1c1u,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1x1b,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
3c,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1u1w,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1w1b,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1u1v1w,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2c1B,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1c1x,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2c1w,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1c1B,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1u1b,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1f1x,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1c1p,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1u1f,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1c1f,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1c1mc,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1T1B,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
1w1x,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2c1x,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1u1p,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1u1w1i,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1c1u1f,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1c1u1o,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1c1u1w1x,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1v1b,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1w1mc,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1b1p,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
1c1i,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1c1u1T,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1w1B,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
1c1u1i,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1u1B,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1B1b,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1w1p,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2c1T,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1w1T,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1u1o,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1v1w,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6c1u,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1B1p,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1c1v1w,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1c1o,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1b1o,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1c1s,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1c1u3i,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
1c1w1x,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1c2w,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2c1o,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1c,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1b,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2u,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1c1v1o,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2c1v,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1w1i,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1T1b,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1c1w1i,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2c1u,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1c1v1T,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1mc1B,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1mc,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1u1v,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2x,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
1u1i,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1T1i,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1c2i,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
1b2i,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
1u2w,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1x1p,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2mc,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1w1o,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1v1i,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1o,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1v,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1a1c,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1w,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1u,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1c3i,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
1t1p,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1v1T,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1mc1i,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1u1T,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1v1mc,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2c1u1w,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1c1u1v1w,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3c1x,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1u1T1i,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1T,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1a1w,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2w1i,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
1b1i,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1c2p,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
1c1w1p1i,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
1a1u1i,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1c1u1w,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1i1o,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1a1u,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1s,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3c1w,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1T1p,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1v1t,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1c1w1B,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
1w1T1i,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
1c1w1T,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1t1T,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1w1t,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1v1x,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1a1c1i,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2T,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2v,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1w2i,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
1c1x1i,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2c1u1i,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1u1x,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2c2w,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
3c1v,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1v3i,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0
1u2i,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
1c1u1v,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3c1u,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1c1T2i,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0
1c1t,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
